T1_nG1,T1_nG2,T12_nG1,T12_nG2
7.16588399260611,7.0649466173156,6.79832635396983,6.85604984934962
6.71559270585645,6.95882793253128,6.53089282373456,6.59458173535294
6.8302130180634,6.93359544492042,6.70937805073512,6.68267643332178
7.224089649536,7.14883698652458,7.13186928546235,7.014099070498
6.93105953376281,7.0382723766079,6.94584886712726,6.94327030001054
6.00470299049588,6.47309547196358,6.49324482129887,6.26480263514729
6.78404265263994,6.89616894363464,6.99383242179101,6.81661279670432
6.71173104860159,7.00479548357372,6.88130792252299,6.68270420998928
7.2492657857733,7.10460048172341,6.99045238824548,6.95741910720618
7.13800749457409,7.10981886368822,7.03915865793905,7.0235139061164
6.91304585380727,6.84421288052099,6.92594312842074,6.82736017344058
7.12120598191005,7.14501582127571,7.0873514877919,7.03359447145313
7.12872624923321,7.00128554302235,7.10180353896502,7.10741299403743
6.74726931270813,6.70438260289873,6.74388218885527,6.58048240162567
6.44284844158302,6.60188150181202,6.82314666613205,6.60944700682231
7.16416144962308,7.19478185713276,7.10753977750543,7.04397854251819
6.91158812614027,7.02980170849857,6.91148458892103,6.83096585310151
6.80173175528065,6.92073266307027,6.88445410091215,6.87559734867207
6.8375707633347,6.77814943478087,6.95834747557228,6.90289100111669
6.91871687248235,6.96723536949429,6.96075375224125,6.93364059569766
6.60720573869719,6.81067266131518,6.79600629182439,6.56485115538135
6.82077787121848,6.73126948219593,6.94099746759029,6.78652558564597
6.86608861062042,6.65335472171222,6.98160105131571,6.86286687209772
6.85898309770203,6.82191880911127,7.02402235900949,6.80168738719863
6.48995124859532,6.80421721462169,6.69282730335638,6.53943152469567
7.03540102641959,7.06618863232497,6.98161923268225,7.00470859263631
6.3682864784728,6.37220615411485,6.8046743455249,6.74212977676052
6.61937722891085,6.87405638085978,6.92123622016725,6.72973265460135
6.66549651547013,6.82923793378888,6.95273410576787,6.8552727485074
6.85725918873317,6.82297790189475,7.01450127757338,6.85694349390715
6.6576450769303,6.61841796128571,6.9015317080907,6.81897444626854
7.05619493728394,7.08127676029394,6.94997230207099,6.95814991785657
7.15791676681241,7.06251395307872,7.02275894745404,7.03195529659755
6.82039721077709,6.90424779271624,6.86088192852504,6.69362171332273
7.0155840962259,6.97258413408601,7.09017052111793,7.07750852205314
6.93473946205156,7.00793213641686,6.99511493206052,6.99798967313171
6.57387708365254,6.54155767886403,6.73590897403562,6.65363483489501
7.00380479272591,7.04658123249609,7.04869468516027,6.99831207160266
7.04266173043672,7.0654844614672,7.03495440616989,7.06997070675401
6.6115168447427,6.86574336053475,6.85815655864736,6.66355082235613
6.49377841886894,6.85669425258386,6.6711616437085,6.63912712467154
6.59492456258702,6.96510643933856,6.89386058119511,6.75497215605817
6.74878454169736,6.92322837980686,6.94217996766548,6.72177009477395
