T1_nG1,T1_nG2,T12_nG1,T12_nG2
0.000108182251484735,0.000103468170399686,2.39106860428404e-05,2.30276025415931e-05
2.5803855391913e-05,2.82406335627072e-05,4.45879688892652e-06,4.39292695159959e-06
8.73096481495468e-05,8.80171200308149e-05,5.73573400649649e-05,5.69795852480213e-05
0.000102682202388581,9.8628336772876e-05,3.30309392485754e-05,3.30317917077015e-05
2.03211068250967e-05,2.02977326162016e-05,7.68110088412849e-06,7.26521473633964e-06
7.44396427674903e-05,6.81640439329059e-05,1.90893670776585e-05,2.05667903869734e-05
6.97447440839992e-05,7.13793570874432e-05,2.20853251482242e-05,2.07504604608646e-05
0.000142550935701906,0.000136238891671258,6.37913427407254e-05,6.59721371631622e-05
3.98084481428656e-06,3.68700655879269e-06,1.95952669857912e-06,1.85892981961874e-06
4.65086337184508e-05,4.62730208573533e-05,1.13248336833287e-05,1.11537319534915e-05
2.78062512396148e-05,2.77343208152364e-05,1.02236256719308e-05,1.04641600097477e-05
8.23832325501491e-06,7.83799581333882e-06,4.0503291917129e-06,3.71961409343948e-06
5.1179033227867e-05,5.27051143323157e-05,1.99654328682061e-05,2.07264905076541e-05
2.99353326785193e-05,2.74009027776147e-05,1.67534784498855e-05,1.49542289703836e-05
8.64179748752944e-05,8.31983587061187e-05,7.06090002044019e-05,6.70967079405199e-05
4.25432230669896e-05,4.21649049979912e-05,2.73525402834388e-05,2.47634702746597e-05
8.34901108809896e-05,8.26158458823336e-05,4.49764031976594e-05,4.67944710457891e-05
4.21142679598897e-05,3.76976877714822e-05,2.95002002710682e-05,2.93888765888786e-05
0.000104295188913851,0.000107804306707577,4.00128053717383e-05,3.98785247556536e-05
0.000129937996724599,0.000106488892397148,5.40004193935179e-05,5.50664727517779e-05
4.66276418619585e-05,4.6530651109298e-05,1.47921497196331e-05,1.43901383259928e-05
9.63096256037348e-05,8.57141276181192e-05,4.05869305938394e-05,3.77995692937733e-05
3.83172045885155e-05,3.80669171517394e-05,1.58733112378124e-05,1.66181654273198e-05
7.68327419987676e-05,7.58393939310144e-05,1.83505634196523e-05,1.76071750370628e-05
5.56475450200441e-05,5.22361305728979e-05,2.103002287867e-05,1.81113740813132e-05
7.98367236034174e-05,7.80108192668501e-05,3.32595495929373e-05,3.3109932224332e-05
0.000118013019383249,0.000118028223755501,2.41926589566823e-05,2.15943516711974e-05
0.000225571768216888,0.000213904337647494,8.84933484104812e-05,9.17651893436977e-05
0.000234069244732067,0.0002233707319062,5.79325478613039e-05,5.60730487724644e-05
0.000172268583863272,0.000153986236264032,4.68722786048118e-05,4.23514380865903e-05
6.58922178771153e-05,6.19536256095424e-05,2.44603446725197e-05,2.53171315212581e-05
0.00017138249595829,0.000162989749645525,6.5950405997319e-05,6.60324251936284e-05
4.24149151152714e-05,3.77442482982752e-05,1.13674749419263e-05,1.15601501633919e-05
0.000110551345733264,0.000103534658207976,2.92359352200596e-05,2.51074246938345e-05
5.66562400966037e-05,5.63425933748284e-05,5.61606614050524e-05,4.9592516344811e-05
0.000106663838514427,0.000102546712992079,4.60513053644734e-05,4.88646561047729e-05
1.34959366811697e-05,1.37797034569623e-05,8.30413134608066e-06,7.84419342372386e-06
5.48066818139357e-05,5.43712858626871e-05,5.9670859145161e-05,5.83386162933978e-05
6.03622351722034e-05,6.10661247951981e-05,1.9689249923127e-05,2.11401532578179e-05
0.000104044815360849,0.000100963549915373,6.78202986871013e-05,6.51119189549929e-05
3.03870911923539e-05,2.89960509038817e-05,1.09153479277698e-05,9.94562823932601e-06
5.9907251256085e-05,6.29305681476853e-05,1.23653494526812e-05,1.27944193926078e-05
4.58661753258955e-05,4.55035351020437e-05,2.724758319632e-05,2.668709411753e-05
3.11968583963663e-05,3.11078723447121e-05,1.56954287065112e-05,1.52858220371518e-05
0.000122883562075511,0.000109961756148915,8.7924445295865e-05,8.44473790717665e-05
4.2733460791362e-05,4.260602005885e-05,3.2538243886195e-05,3.0522666019852e-05
0.000117132553617482,0.000116363853452071,7.302110341402e-05,7.4799514569831e-05
0.000110263569248401,0.00010579422135003,6.94717281190469e-05,6.46242694488504e-05
8.06433167966659e-05,8.03929343682311e-05,3.23367416843997e-05,3.06356323431694e-05
0.000375185800083417,0.000375225326203412,0.000166074253065977,0.000159479814874208
4.64843311427311e-05,4.64372921631669e-05,5.35026705590757e-05,5.23452582469742e-05
0.000104548040040413,0.000102936402506279,4.19915024198124e-05,4.1418639208227e-05
0.000136982125835003,0.000136966581817507,8.63491635463046e-05,8.14756508765946e-05
7.44011404184739e-05,7.49291398157238e-05,4.31651242313848e-05,4.28655573863064e-05
7.89361483267896e-05,7.78349492992976e-05,4.20878141574141e-05,4.54471624034576e-05
5.05404716608544e-05,5.0205458132268e-05,3.33196529231188e-05,3.2421171148652e-05
7.31725269105998e-05,7.04339439961605e-05,1.75285392314491e-05,1.84040375912878e-05
0.000138109657762686,0.000136144628815241,5.9817451138104e-05,5.98948080333571e-05
0.000261691995254393,0.0002466158054532,0.000120150587544209,0.000123558352241127
0.000226570240057063,0.000218808088256951,8.54633654986771e-05,8.37402420879557e-05
5.96832629801954e-05,5.85190263573052e-05,2.37480047163084e-05,2.40232196967196e-05
8.13769374152687e-05,7.45019267329486e-05,2.92564505821034e-05,5.65957070769943e-05
0.000176063509838193,0.000173556933150263,3.9648319069819e-05,3.92379618255877e-05
0.000297678498439533,0.000262984318708567,0.000247256837963537,0.00023464875843453
7.85581265765252e-05,7.93780564285669e-05,4.16314069771422e-05,3.74152508924229e-05
7.33710779460264e-05,7.48662654675915e-05,2.72377639320306e-05,2.39124822246679e-05
8.87915183361311e-05,8.85873340834295e-05,2.58086527738542e-05,2.52663349166915e-05
0.000430960485099365,0.000429481304709029,0.000174738191448218,0.000167620418299568
0.000117817935032667,0.000118064722842497,4.39845834090687e-05,4.04428289055022e-05
3.07300695606422e-05,3.02351704723683e-05,1.54137482791896e-05,1.58765205177745e-05
4.1658823727924e-05,4.19641790572917e-05,3.30712219350871e-05,2.47622948148951e-05
5.12572667379796e-05,5.10124644456524e-05,2.00429315060786e-05,1.91206547780457e-05
3.14586891475227e-05,3.12823033802138e-05,1.83749287007007e-05,1.85231658319637e-05
2.35035556124652e-05,2.31126647234446e-05,1.15936498534848e-05,1.05563845786559e-05
0.000154720964560465,0.000157748931350374,7.33725967705127e-05,6.94409556673177e-05
5.21297213425839e-05,5.35069512621176e-05,2.25093513414238e-05,2.34092507398527e-05
0.000286004877713317,0.000279669159401381,8.71661220923484e-05,7.36226771658258e-05
4.29632931198603e-06,3.96256441791717e-06,2.23577847955734e-06,2.35989009775514e-06
6.88224958870858e-05,5.97641418422365e-05,2.81135906067647e-05,2.52165904687252e-05
0.000213006135653265,0.000207132022631392,0.00012056405410124,0.000117321071986206
0.000209251304359307,0.000196159282338686,8.02446951551144e-05,8.56330461102147e-05
1.15163371453865e-05,1.13360617908496e-05,6.17326878499948e-06,4.50515905910512e-06
3.30320075496578e-05,3.01407433684181e-05,1.80173678709123e-05,1.77187208925815e-05
5.58740021310951e-05,5.43646470103676e-05,2.59678548769505e-05,2.04255041348241e-05
0.000127216181732157,0.000103206050413502,0.000101480446942091,9.62178283386034e-05
0.000117188528560086,0.000116013514372617,4.00687803010393e-05,4.06124539326265e-05
4.28826314832738e-05,4.21999454680247e-05,2.09738116711802e-05,1.74321012234989e-05
