T1_nG1,T1_nG2,T12_nG1,T12_nG2
1.80508613170519,2.01632686436982,1.66880178805059,2.08992040994331
2.29366550370693,2.39656018316616,2.243921718273,2.63505778456171
1.96522023549935,2.21530200610554,1.65653619712167,2.14375272568687
1.54205734845181,1.68515590928914,1.47323375490624,1.84120148277366
3.38666593981683,3.65446467509812,3.04868076755342,3.5944995638901
2.6125708678587,2.93079481029219,2.6125708678587,3.125
2.15601831661579,2.25550588748365,1.96181312690798,2.48446358482338
2.20235499345835,2.5192160924553,2.07424771042303,2.68684583515046
1.9563617531618,2.11377017008286,1.84869712167466,2.23233754906236
1.85755560401221,2.08310619276058,1.51003052769298,2.16419537723506
2.19622219799389,2.45788813781073,1.84937854339293,2.34340928914086
1.64699629306585,1.84937854339293,1.56113715656345,1.92978630614915
1.5625,1.78191779328391,1.45551679023114,1.79009485390318
2.41223288268644,2.75362516354121,2.26504579153947,2.90626362843437
2.82653728739642,3.02483100741387,2.57849978194505,3.17338094199738
1.63677496729176,1.84324574792848,1.55091583078936,1.87527256868731
1.80304186655037,2.07152202354993,1.67561600523332,2.12944286960314
1.55091583078936,1.69197012647187,1.31446249454863,1.75602376798953
2.72500545137375,2.95737025730484,2.50218054949847,2.93011338857392
2.07356628870475,2.23506323593546,2.02109681639773,2.47969363279546
1.25858591365024,1.36965765372874,1.27494003488879,1.5522786742259
1.6633504143044,1.89435237679895,1.67766027038814,2.06879633667684
1.90866223288269,2.12399149585696,1.83302442215438,2.31001962494549
2.09537178368949,2.30524967291758,1.90116659398168,2.3577191452246
1.92569777583951,2.14920409943306,1.82689162668993,2.23301897078064
2.4006487134758,2.52534888791976,2.2037178368949,2.67662450937636
3.07048626253816,3.21494766681204,3.05413214129961,3.31920518970781
1.51616332315744,1.64972197993894,1.42008286088094,1.83438726559093
1.57340274749237,1.70491713911906,1.43711840383777,1.72195268207588
1.9284234627126,2.13421282163105,1.66948320976886,2.16623964238988
2.18463802878325,2.28821412996075,1.8425643262102,2.37339184474488
2.90898931530746,3.08820322721326,2.73318251199302,3.09638028783253
1.42280854775403,1.56522568687309,1.21838203227213,1.59588966419538
1.82961731356302,2.06879633667684,1.72263410379416,2.22075337985172
1.70014718709115,1.9134321849106,1.59452682075883,1.92297208896642
2.00883122546882,2.34272786742259,1.90866223288269,2.38361317051897
1.87459114696904,2.0319995638901,1.73217400784998,1.83847579590057
2.25959441779328,2.49195922372438,1.97271587440035,2.46061382468382
2.14511556912342,2.36794047099869,1.94341474051461,2.38225032708242
2.41495856955953,2.41427714784126,2.19962930658526,2.38020606192761
2.14715983427824,2.2895769733973,1.85346707370257,2.23574465765373
2.25891299607501,2.46810946358482,1.96113170518971,2.48310074138683
1.62178368948975,1.81326319232447,1.39964020933275,1.77782926297427
1.84052006105539,2.09877889228085,1.71104993458352,2.20031072830353
1.78600632359355,2.00883122546882,1.62382795464457,2.0394952027911
1.9713530309638,2.18804513737462,1.94409616223288,2.39996729175752
2.01223833406018,2.28548844308766,2.00610553859573,2.32773658962058
2.88854666375927,3.10592019188836,2.59280963802878,3.24833733100741
2.2895769733973,2.443578281727,2.10218600087222,2.52330462276494
2.66231465329263,2.91103358046228,2.43199411251635,2.78360771914522
2.10695595290013,2.37679895333624,1.91820213693851,2.4258613170519
2.42994984736154,2.6480047972089,2.30524967291758,2.83948430004361
1.74989097252508,2.07561055385957,1.63609354557348,2.06061927605757
2.18259376362843,2.31342673353685,1.85142280854775,2.24528456170955
2.13830135194069,2.27390427387702,2.00951264718709,2.51853467073703
2.76520933275185,3.00098124727431,2.57577409507196,3.11546009594418
2.38020606192761,2.57100414304405,2.25005451373746,2.64323484518099
1.33354230266027,1.5270660706498,1.31923244657654,1.62655364151766
2.37475468818142,2.6629960750109,2.16146969036197,2.7488552115133
